x y t s
0.6660512 40.6510975 "0001-01-01 00:00:00+00:00" 0
0.6660512 40.6510975 "0001-01-01 00:00:00+00:00" 0
0.6248522 40.6414844 "0001-01-01 00:00:00+00:00" 0
0.6248522 40.6414844 "0001-01-01 00:00:00+00:00" 0
0.6749777 40.6531574 "0001-01-01 00:00:00+00:00" 0
0.6749777 40.6531574 "0001-01-01 00:00:00+00:00" 0
0.6619313 40.6504108 "0001-01-01 00:00:00+00:00" 0
0.6619313 40.6504108 "0001-01-01 00:00:00+00:00" 0
0.6832175 40.6552174 "0001-01-01 00:00:00+00:00" 0
0.6832175 40.6552174 "0001-01-01 00:00:00+00:00" 0
0.6976372 40.6586507 "0001-01-01 00:00:00+00:00" 0
0.6976372 40.6586507 "0001-01-01 00:00:00+00:00" 0
0.6694845 40.6517841 "0001-01-01 00:00:00+00:00" 0
0.6694845 40.6517841 "0001-01-01 00:00:00+00:00" 0
0.6433917 40.6456043 "0001-01-01 00:00:00+00:00" 0
0.6433917 40.6456043 "0001-01-01 00:00:00+00:00" 0
0.6461384 40.6462909 "0001-01-01 00:00:00+00:00" 0
0.6461384 40.6462909 "0001-01-01 00:00:00+00:00" 0
0.6365252 40.644231 "0001-01-01 00:00:00+00:00" 0
0.6365252 40.644231 "0001-01-01 00:00:00+00:00" 0
0.6076859 40.6373645 "0001-01-01 00:00:00+00:00" 0
0.6076859 40.6373645 "0001-01-01 00:00:00+00:00" 0
0.6186723 40.6401111 "0001-01-01 00:00:00+00:00" 0
0.6186723 40.6401111 "0001-01-01 00:00:00+00:00" 0
0.6207323 40.6401111 "0001-01-01 00:00:00+00:00" 0
0.6207323 40.6401111 "0001-01-01 00:00:00+00:00" 0
0.6159257 40.6394244 "0001-01-01 00:00:00+00:00" 0
0.6159257 40.6394244 "0001-01-01 00:00:00+00:00" 0
0.605626 40.6366778 "0001-01-01 00:00:00+00:00" 0
0.605626 40.6366778 "0001-01-01 00:00:00+00:00" 0
0.6015061 40.6359912 "0001-01-01 00:00:00+00:00" 0
0.6015061 40.6359912 "0001-01-01 00:00:00+00:00" 0
0.6028794 40.6359912 "0001-01-01 00:00:00+00:00" 0
0.6028794 40.6359912 "0001-01-01 00:00:00+00:00" 0
0.6001328 40.6353045 "0001-01-01 00:00:00+00:00" 0
0.6001328 40.6353045 "0001-01-01 00:00:00+00:00" 0
0.6131791 40.6387378 "0001-01-01 00:00:00+00:00" 0
0.6131791 40.6387378 "0001-01-01 00:00:00+00:00" 0
0.6118058 40.6380511 "0001-01-01 00:00:00+00:00" 0
0.6118058 40.6380511 "0001-01-01 00:00:00+00:00" 0
0.6145524 40.6387378 "0001-01-01 00:00:00+00:00" 0
0.6145524 40.6387378 "0001-01-01 00:00:00+00:00" 0
0.6090592 40.6373645 "0001-01-01 00:00:00+00:00" 0
0.6090592 40.6373645 "0001-01-01 00:00:00+00:00" 0
0.6104325 40.6380511 "0001-01-01 00:00:00+00:00" 0
0.6104325 40.6380511 "0001-01-01 00:00:00+00:00" 0
0.617299 40.6394244 "0001-01-01 00:00:00+00:00" 0
0.617299 40.6394244 "0001-01-01 00:00:00+00:00" 0
0.6221056 40.6407977 "0001-01-01 00:00:00+00:00" 0
0.6221056 40.6407977 "0001-01-01 00:00:00+00:00" 0
0.6042527 40.6366778 "0001-01-01 00:00:00+00:00" 0
0.6042527 40.6366778 "0001-01-01 00:00:00+00:00" 0
0.6234789 40.6407977 "0001-01-01 00:00:00+00:00" 0
0.600064 40.699263 "2022-12-26 08:26:41+00:00" 1
0.60013 40.69924 "2022-12-26 08:26:42+00:00" 1
0.60013 40.69924 "2022-12-26 08:26:42+00:00" 1
0.600196 40.699216 "2022-12-26 08:26:43+00:00" 1
0.600196 40.699216 "2022-12-26 08:26:43+00:00" 1
0.600263 40.699189 "2022-12-26 08:26:44+00:00" 1
0.600263 40.699189 "2022-12-26 08:26:44+00:00" 1
0.600326 40.699163 "2022-12-26 08:26:45+00:00" 1
0.600326 40.699163 "2022-12-26 08:26:45+00:00" 1
0.600394 40.699139 "2022-12-26 08:26:46+00:00" 1
0.600394 40.699139 "2022-12-26 08:26:46+00:00" 1
0.600455 40.699114 "2022-12-26 08:26:47+00:00" 1
0.600455 40.699114 "2022-12-26 08:26:47+00:00" 1
0.600519 40.699087 "2022-12-26 08:26:48+00:00" 1
0.600519 40.699087 "2022-12-26 08:26:48+00:00" 1
0.600584 40.699062 "2022-12-26 08:26:49+00:00" 1
0.600584 40.699062 "2022-12-26 08:26:49+00:00" 1
0.600648 40.699038 "2022-12-26 08:26:50+00:00" 1
0.600648 40.699038 "2022-12-26 08:26:50+00:00" 1
0.600715 40.699016 "2022-12-26 08:26:51+00:00" 1
0.600715 40.699016 "2022-12-26 08:26:51+00:00" 1
0.600779 40.698991 "2022-12-26 08:26:52+00:00" 1
0.600779 40.698991 "2022-12-26 08:26:52+00:00" 1
0.600845 40.698963 "2022-12-26 08:26:53+00:00" 1
0.600845 40.698963 "2022-12-26 08:26:53+00:00" 1
0.600911 40.698941 "2022-12-26 08:26:54+00:00" 1
0.600911 40.698941 "2022-12-26 08:26:54+00:00" 1
0.600975 40.698916 "2022-12-26 08:26:55+00:00" 1
0.600975 40.698916 "2022-12-26 08:26:55+00:00" 1
0.601041 40.698892 "2022-12-26 08:26:56+00:00" 1
0.601041 40.698892 "2022-12-26 08:26:56+00:00" 1
0.601111 40.698866 "2022-12-26 08:26:57+00:00" 1
0.601111 40.698866 "2022-12-26 08:26:57+00:00" 1
0.601175 40.698844 "2022-12-26 08:26:58+00:00" 1
0.601175 40.698844 "2022-12-26 08:26:58+00:00" 1
0.601246 40.698824 "2022-12-26 08:26:59+00:00" 1
0.601246 40.698824 "2022-12-26 08:26:59+00:00" 1
0.601316 40.698805 "2022-12-26 08:27:00+00:00" 1
0.601316 40.698805 "2022-12-26 08:27:00+00:00" 1
0.601382 40.698778 "2022-12-26 08:27:01+00:00" 1
0.601382 40.698778 "2022-12-26 08:27:01+00:00" 1
0.601446 40.698751 "2022-12-26 08:27:02+00:00" 1
0.601446 40.698751 "2022-12-26 08:27:02+00:00" 1
0.601513 40.698728 "2022-12-26 08:27:03+00:00" 1
0.601513 40.698728 "2022-12-26 08:27:03+00:00" 1
0.60158 40.698707 "2022-12-26 08:27:04+00:00" 1
0.60158 40.698707 "2022-12-26 08:27:04+00:00" 1
0.601649 40.698687 "2022-12-26 08:27:05+00:00" 1
0.601649 40.698687 "2022-12-26 08:27:05+00:00" 1
0.601719 40.698663 "2022-12-26 08:27:06+00:00" 1
0.601719 40.698663 "2022-12-26 08:27:06+00:00" 1
0.601785 40.698641 "2022-12-26 08:27:07+00:00" 1
0.601785 40.698641 "2022-12-26 08:27:07+00:00" 1
0.601852 40.698616 "2022-12-26 08:27:08+00:00" 1
0.601852 40.698616 "2022-12-26 08:27:08+00:00" 1
0.601916 40.698592 "2022-12-26 08:27:09+00:00" 1
0.601916 40.698592 "2022-12-26 08:27:09+00:00" 1
0.601979 40.698568 "2022-12-26 08:27:10+00:00" 1
0.601979 40.698568 "2022-12-26 08:27:10+00:00" 1
0.602047 40.698542 "2022-12-26 08:27:11+00:00" 1
0.602047 40.698542 "2022-12-26 08:27:11+00:00" 1
0.602117 40.698518 "2022-12-26 08:27:12+00:00" 1
0.602117 40.698518 "2022-12-26 08:27:12+00:00" 1
0.602187 40.698495 "2022-12-26 08:27:13+00:00" 1
