Name,Class,Latitude,Longitude
Palau Comtal,Palau,42.258064,3.074073
Palau de l&#8217;Abadia,Palau,42.232441,2.285607
Palau de l&#8217;Abat,Palau,42.281555,2.97943
Palau de la Cambreria,Palau,41.118833,1.257583
Palau de Marianao,Palau,41.352611,2.022722
Palau del Castlà,Palau,41.375782,1.162547
Palau del marqués de Llió,Palau,41.453657,1.703682
Palau dels Cabrera,Palau,41.675945,2.792704
Palau dels Comtes de Centelles ,Palau,41.797523,2.219434
Palau dels Margarit,Palau,42.154942,3.06974
Palau dels Marquesos de la Floresta,Palau,41.64758,1.14019
Palau dels Oliver de Boteller,Palau,40.813333,0.521306
Palau Despuig,Palau,40.813306,0.522028
Palau Episcopal,Palau,41.986844,2.82605
Palau Episcopal,Palau,41.993994,1.519117
Palau Episcopal,Palau,40.813998,0.521413
Palau Llobera,Palau,41.995567,1.51927
Palau Novella,Palau,41.29177,1.85256
Palau Oriol,Palau,40.813194,0.521917
Palau Reial,Palau,42.043274,3.125921
Palau Reial,Palau,41.375961,1.161021
Palau Reial,Palau,41.346682,1.696839
Palau Solterra,Palau,42.041675,3.126168
Torre de Santa Llúcia ,Palau,41.482706,1.926975
Torre-ramona,Palau,41.421286,1.819867
El Pontarró,Pont,41.871339,2.115152
Passera de Sobrànigues,Pont,42.059724,2.959797
Passera entre Sant Gregori i Bescanó,Pont,41.969914,2.745667
Pont de Beget,Pont,42.3207,2.480731
Pont de Biosca,Pont,41.842049,1.35835
Pont de Buida-sacs,Pont,41.931724,1.64104
Pont de Cabrianes,Pont,41.772381,1.904694
Pont de Camarasa,Pont,41.87928,0.877018
Pont de Can Coca,Pont,41.747111,2.402194
Pont de Can Prat,Pont,42.13861,2.679167
Pont de Can Vernet,Pont,41.477716,2.076533
Pont de Can Vidal,Pont,41.94535,2.55699
Pont de Castellbò,Pont,42.373722,1.357528
Pont de Castelló de Farfanya,Pont,41.820684,0.729013
Pont de Cavaloca ,Pont,41.231583,0.74175
Pont de Conangle,Pont,41.834722,1.874389
Pont de Cossei,Pont,42.194489,2.544461
Pont de Gerri de la Sal,Pont,42.323645,1.065994
Pont de Gualta ,Pont,42.031433,3.103052
Pont de la cabreta,Pont,42.249538,2.164629
Pont de la Cabreta,Pont,41.953722,2.257278
Pont de la cantina,Pont,41.9125,2.3895
Pont de La Coromina ,Pont,41.9102,1.690167
Pont de la Creu,Pont,41.881589,3.12485
Pont de la Farga Vella,Pont,42.278667,2.00475
Pont de la Farga,Pont,42.0039,1.57183
Pont de la Font del Bisbe,Pont,41.988583,2.831333
Pont de la Gorga,Pont,42.036222,2.372389
Pont de La Lleura,Pont,41.924389,1.67454
Pont de la Noguerola,Pont,41.853472,2.355278
Pont de la Petita,Pont,42.244194,1.975472
Pont de la Riera,Pont,42.076611,2.304778
Pont de la Sala,Pont,42.027944,2.45875
Pont de les Femades ,Pont,41.386831,1.359411
Pont de les Masuques,Pont,41.288161,1.639053
Pont de Llierca,Pont,42.247444,2.60372
Pont de l’Aigua,Pont,42.014216,2.825375
Pont de l’Anijol,Pont,42.064861,2.279167
Pont de l’Espelt,Pont,42.23947,1.920243
Pont de l’Esquella,Pont,42.1175,1.304306
Pont de Manlleu,Pont,41.99695,2.286
Pont de Martís,Pont,42.172028,2.780667
Pont de Mas Riera,Pont,42.20618,2.754565
Pont de pedra de Santes Creus ,Pont,41.34978,1.36188
Pont de pedra,Pont,41.784698,1.097217
Pont de Pedret,Pont,42.106155,1.880674
Pont de Periques,Pont,41.977753,1.883592
Pont de Queralt,Pont,41.927731,2.256403
Pont de Riudevilla,Pont,41.88455,2.78246
Pont de Riugrèixer,Pont,42.271851,1.850737
Pont de Roma,Pont,42.121583,2.044944
Pont de Salarsa o Salarça,Pont,42.305056,2.478806
Pont de Sanaüja ,Pont,41.874405,1.309699
Pont de Sant Antoni,Pont,42.317222,2.782000
Pont de Sant Joan,Pont,41.920023,1.682956
Pont de Sant Martí d&#8217;Aravó,Pont,42.43272,1.917516
Pont de Sant Martí d’Albars,Pont,42.026891,2.076037
Pont de Sant Miquel,Pont,41.79392,0.807736
Pont de Santa Maria de Merlès,Pont,42.000333,1.981139
Pont de Santa Pau,Pont,42.14402,2.569902
Pont de Soler,Pont,42.397694,1.898972
Pont de Torruella,Pont,41.985833,2.246056
Pont de Vall-llonga,Pont,42.141266,1.584832
Pont de Vallcanera,Pont,41.82771,2.74439
Pont de Vallfogona,Pont,42.193598,2.303709
Pont de Vilella,Pont,42.250047,1.865815
Pont de Vilomara,Pont,41.700833,1.869167
Pont del Bullidor de la Llet,Pont,42.275024,1.817756
Pont del Diable,Pont,41.47501,1.938266
Pont del Diable,Pont,42.106751,1.844867
Pont del Diable,Pont,41.919671,1.684835
Pont del Diable,Pont,42.370278,1.81
Pont del Diable,Pont,41.807993,1.381412
Pont del Far,Pont,42.183099,1.866565
Pont del fossat,Pont,41.979101,3.089626
Pont del Llop,Pont,42.073133,1.570877
Pont del Molí de Canet,Pont,41.945278,1.613028
Pont del Molí de les Pipes,Pont,41.819889,2.493222
Pont del Molí de Querol,Pont,42.026694,1.399472
Pont del molí de Saleta,Pont,41.903776,2.500416
Pont del Molí del Puig,Pont,42.268683,1.812551
Pont del molí dels capellans,Pont,41.879806,2.279750
Pont del molí d’en Solà,Pont,42.216495,2.403429
Pont del Prat de les Hortes,Pont,41.940339,2.567885
Pont del Remei,Pont,41.924566,2.249799
Pont dels moros ,Pont,41.253392,1.174524
Pont d’en Bruguer ,Pont,41.939167,2.276556
Pont d’Orniu,Pont,42.067835,1.868368
Pont i aqüeducte de Can Claverí,Pont,41.498055,2.028713
Pont i portals medievals de Besalú ,Pont,42.199348,2.701508
Pont medieval de Sant Andreu,Pont,42.066524,2.846141
Pont medieval de Sant Joan les Fonts ,Pont,42.212357,2.509421
Pont medieval de Sords,Pont,42.088045,2.823787
Pont Nou,Pont,42.31284,2.36423
Pont Nou,Pont,41.727778,1.813806
Pont Petit de Beget,Pont,42.320199,2.481342
Pont romà de la Roqueta,Pont,42.023704,3.078371
Pont Romà,Pont,41.635806,2.160278
Pont Romà,Pont,42.271472,2.533611
Pont romànic de la Vall d’Ora,Pont,42.085583,1.673889
Pont sobre el riu Fluvià,Pont,42.221667,2.549722
Pont sobre el riu Llobregat,Pont,41.610833,1.846944
Pont trencat,Pont,41.26262,1.21893
Pont Vell ,Pont,41.224022,1.032956
Pont Vell,Pont,41.640681,1.856603
Pont Vell,Pont,42.243843,1.975232
Pont Vell,Pont,41.720834,1.830039
Pont Vell,Pont,41.823856,1.893056
Pont Vell de Guardiola,Pont,42.215105,1.869432
Pont Vell de Sant Joan de les Abadesses ,Pont,42.235237,2.284175
Pont Vell del Molí d’en Güell,Pont,42.190884,1.693735
Pont Vell d’Avinyó,Pont,41.862222,1.975556
Pont Vell d’Orniu,Pont,42.067302,1.868825
Pont Vell o Pont Romà,Pont,41.243861,0.700389
Pont Vell,Pont,41.829623,0.577861
Pont Vell,Pont,42.251722,1.861194
Pont Vell,Pont,41.29827,1.03858
Pont Vell,Pont,42.03325,1.881556
Pont Vell,Pont,41.380364,1.161313
Pont Vell,Pont,41.94609,2.55546
Pont Vell,Pont,42.332056,3.204694
Pont Vell,Pont,41.980147,2.308126
Pont Vell,Pont,41.971028,2.628922
Pont Vell,Pont,42.322306,2.789639
Pont Vell,Pont,41.376287,0.98111
Torre colomer,TorreColomer,42.404263,1.545151
Torre colomer,TorreColomer,42.374317,1.526354
Torre colomer d&#8217;en Jovany,TorreColomer,42.511345,1.4376
Torre colomer de Castellbò,TorreColomer,42.374828,1.358506
Torre colomer de l’Arboçar,TorreColomer,41.327561,1.758989
Torre de les Bruixes,TorreColomer,42.54882,1.314417
Torre del Mas Pigot,TorreColomer,41.289906,1.653978
Torrota de Can Pinya,TorreColomer,41.420004,1.827019
Torrota d’en Pasteres,TorreColomer,41.417928,1.817372
Can Clarà,Castells,42.185208,3.080167
Can Jalpí,Castells,41.599164,2.540166
Casal dels Montoliu,Castells,41.192184,1.208606
Castell Coll,Castells,42.196133,2.462217
Castell d&#8217;Abella,Castells,42.162376,1.093175
Castell d&#8217;Aguilar,Castells,42.016389,1.275278
Castell d&#8217;Aguilar de Segarra ,Castells,41.750202,1.627218
Castell d&#8217;Aguiló,Castells,41.553009,1.41898
Castell d&#8217;Albió,Castells,41.565186,1.270519
Castell d&#8217;Albons ,Castells,42.104549,3.085609
Castell d&#8217;Alforja ,Castells,41.210632,0.974176
Castell d&#8217;Algars,Castells,41.092022,0.227797
Castell d&#8217;Alió ,Castells,41.293611,1.304722
Castell d&#8217;Alsamora,Castells,42.08157,0.727952
Castell d&#8217;Altès,Castells,42.018982,1.31896
Castell d&#8217;Amposta ,Castells,40.714306,0.579824
Castell d&#8217;Aramunt,Castells,42.200424,0.996741
Castell d&#8217;Arbeca ,Castells,41.542336,0.923015
Castell d&#8217;Arbul,Castells,42.127193,0.78563
Castell d&#8217;Arcalís,Castells,42.349113,1.091613
Castell d&#8217;Ardesa,Castells,41.634651,1.580958
Castell d&#8217;Ardèvol,Castells,41.851745,1.518908
Castell d&#8217;Arenys d&#8217;Empordà,Castells,42.165833,2.953333
Castell d&#8217;Argençola ,Castells,41.598,1.442886
Castell d&#8217;Aristot,Castells,42.379555,1.623324
Castell d&#8217;Ars,Castells,42.44677,1.396878
Castell d&#8217;Artés ,Castells,41.799576,1.950494
Castell d&#8217;Arties ,Castells,42.698227,0.870522
Castell d&#8217;Ascó ,Castells,41.179741,0.566147
Castell d&#8217;Avinyó,Castells,41.373056,1.773889
Castell d&#8217;Avinyonet ,Castells,42.249531,2.914301
Castell d&#8217;Empordà,Castells,41.978138,3.044178
Castell d&#8217;en Roca,Castells,42.162689,2.680731
Castell d&#8217;Enfesta,Castells,41.777924,1.476304
